# --------------------------------------------------------------------,,,,,,
# USE OF NOAA GML DATA,,,,,,
#,,,,,,
# These data are made freely available to the public and the scientific,,,,,,
# community in the belief that their wide dissemination will lead to,,,,,,
# greater understanding and new scientific insights. To ensure that GML,,,,,,
# receives fair credit for their work please include relevant citation,,,,,,
# text in publications. We encourage users to contact the data providers,,,,,,
# who can provide detailed information about the measurements and,,,,,,
# scientific insight.  In cases where the data are central to a,,,,,,
# publication, coauthorship for data providers may be appropriate.,,,,,
#,,,,,,
#,,,,,,
#,,,,,,
# Contact:  Xin Lan (xin.lan@noaa.gov),,,,,,
#,,,,,,
# File Creation: Sun Nov  5 04:05:14 2023,,,,,,
#,,,,,,
#,,,,,,
# --------------------------------------------------------------------,,,,,,
#,,,,,,
#,,,,,,
# See gml.noaa.gov/ccgg/trends/ for additional details.,,,,,,https://gml.noaa.gov/ccgg/trends_ch4/
#,,,,,,
#,,,,,,
# Uncertainties in the global monthly means are estimated using two,,,,,,
# terms: The first is a bootstrap (resampling) method that varies the,,,,,,
# sites in our network. Each pseudo-network contains the same number of,,,,,,
# sites as our actual NOAA ESRL cooperative global air sampling network,,,,,,
# but some are repeated and some are excluded. The second term is a,,,,,,
# Monte Carlo method that randomly modifies the data to account for,,,,,,
# measurement uncertainty. In both cases, 100 globally-averaged time,,,,,
# series are created. Standard deviations of the monthly means are,,,,,,
# calculated, and the two terms (network and analytical) are taken in,,,,,
# quadrature to give the  reported uncertainties. A default value (-9.9),,,,,,
# indicates the uncertainty has not yet been calculated for that month.,,,,,,
# Please see Dlugokencky et al.,1994, JGR, vol. 99, 17021-17043, for a,
# complete discussion.,,,,,,
#,,,,,,
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb,,,,
#,,,,,,
# NOTE: In general, the data presented for the last year are subject to change,,,,,
# depending on recalibration of the reference gas mixtures used, and other quality,,,,,
# control procedures. Occasionally, earlier years may also change for the same,,,,,
# reasons.  Usually these changes are minor.,,,,,,
year,month,decimal,average CH4 (ppb),average_unc,trend,trend_unc
,,,,,,
1983,7,1983.542,1625.97,2.26,1634.88,1.45
1983,8,1983.625,1628.05,2.88,1635.45,1.39
1983,9,1983.708,1638.43,2.34,1636.08,1.32
1983,10,1983.792,1644.82,1.5,1636.76,1.24
1983,11,1983.875,1642.59,0.73,1637.51,1.16
1983,12,1983.958,1639.54,0.89,1638.32,1.08
1984,1,1984.042,1638.79,1.95,1639.23,0.98
1984,2,1984.125,1638.85,2.11,1640.14,0.9
1984,3,1984.208,1640.82,1.78,1641.1,0.83
1984,4,1984.292,1643.98,2.06,1642.16,0.76
1984,5,1984.375,1643.14,1.14,1643.24,0.71
1984,6,1984.458,1639.73,0.82,1644.35,0.66
1984,7,1984.542,1637.99,1.01,1645.48,0.63
1984,8,1984.625,1641.67,1.47,1646.63,0.61
1984,9,1984.708,1650.61,1.19,1647.76,0.59
1984,10,1984.792,1654.62,1.45,1648.88,0.59
1984,11,1984.875,1653.79,0.96,1649.98,0.58
1984,12,1984.958,1656.19,1.06,1651.07,0.58
1985,1,1985.042,1655.6,0.96,1652.15,0.58
1985,2,1985.125,1652.24,1.36,1653.16,0.58
1985,3,1985.208,1654.6,1,1654.16,0.58
1985,4,1985.292,1658.2,0.83,1655.18,0.59
1985,5,1985.375,1655.88,1.21,1656.18,0.59
1985,6,1985.458,1650.05,1.22,1657.18,0.59
1985,7,1985.542,1646.81,1.17,1658.18,0.6
1985,8,1985.625,1652.24,1.06,1659.2,0.61
1985,9,1985.708,1662.49,0.98,1660.21,0.61
1985,10,1985.792,1667.52,1.16,1661.23,0.62
1985,11,1985.875,1666.8,1.32,1662.25,0.64
1985,12,1985.958,1666.03,1.17,1663.28,0.65
1986,1,1986.042,1666.29,1.18,1664.34,0.67
1986,2,1986.125,1666.92,1.72,1665.36,0.69
1986,3,1986.208,1669.26,1.32,1666.38,0.7
1986,4,1986.292,1670.81,1.37,1667.45,0.72
1986,5,1986.375,1668.44,0.96,1668.52,0.75
1986,6,1986.458,1664.77,1.14,1669.59,0.77
